"NUM_CNPJ_CPF","NOM_FORNECEDOR","MUNICIPIO","UF","NUM_FISCAL","DAT_NOTA_FISCAL","VLR_NOTA","CATEGORIA","LOCAL ","UF LOCAL DA VIAGEM","DAT_INI","DAT_FIM","DSC_OBJETO_EVENTO"
"42591651074260","ARCOS DOURADOS COM. DE ALIM. LTDA","PORTO ALEGRE","RS","385055",27/01/2011,"50,25","FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",25/01/2011,27/01/2011,"Celebração do Dia Internacional do Holocausto."
"88548011000151","TOB'S LANCHES SUL LTDA","PORTO ALEGRE","RS","517600",27/01/2011,"124,3","FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",25/01/2011,27/01/2011,"Celebração do Dia Internacional do Holocausto."
"88548011000151","TOB'S LANCHES SUL LTDA","PORTO ALEGRE","RS","517598",27/01/2011,198,"FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",25/01/2011,27/01/2011,"Celebração do Dia Internacional do Holocausto."
"04174787000169","TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ","27",27/01/2011,3986,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",25/01/2011,27/01/2011,"1- Almoço no Palácio Laranjeiras; 2- Anúncio de doação de 2.000 unidades habitacionais, pelos empresários da construção civil, aos desabrigados da Região Serrana; 3- Visita ao Centro de Operações."
"00650434000137","RESTAURANTE TENDA PAULISTA REFEIÇÕES LTDA","SÃO PAULO","SP","085725",28/01/2011,"182,22","FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",25/01/2011,27/01/2011,"Celebração do Dia Internacional do Holocausto."
"06234754000192","JOSENILDO ARAÚJO D OLIVEIRA - ME",,"SE","10905",21/02/2011,324,"FORNECIMENTO DE ALIMENTAÇÃO","ARACAJU","SE",18/02/2011,21/02/2011,"12º forum dos governadores do nordeste."
"07378739000180","SUPERMERCADO PAU FERRO LTDA","ARACAJU","SE","4589",21/02/2011,3421,"GENEROS DE ALIMENTAÇÃO","ARACAJU","SE",18/02/2011,21/02/2011,"12º forum dos governadores do nordeste."
"07363122000191","LANCHONETE TONY E THAIS LTDA. ME","SÃO PAULO","SP","3334",21/02/2011,2520,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",20/02/2011,21/02/2011,"Comemoração dos 90 anos de fundação da Folha de São Paulo"
"55718175000120","CASA DE LANCHES CRAVO PAULISTA LTDA. - EPP","SÃO PAULO","SP","10139",25/02/2011,"133,43","FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",24/02/2011,25/02/2011,"Reunião no Escritório de São Paulo"
"07363122000191","LANCHONETE TONY E THAIS LTDA. ME","SÃO PAULO","SP","3366",25/02/2011,360,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",24/02/2011,25/02/2011,"Reunião no Escritório de São Paulo"
"07695556000199","PANNE FRUIT DELICATESSEN LTDA","SALVADOR","BA","264322",26/02/2011,"336,9","FORNECIMENTO DE ALIMENTAÇÃO","SALVADOR","BA",26/02/2011,01/03/2011,"Cerimônia de anúncio da construção do terminal de regaseificação da Bahia."
"04174787000169","TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ","029",28/02/2011,3098,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",27/02/2011,28/02/2011,"Gravação - Programa MAIS VOCÊ com ANA MARIA BRAGA, seguido de almoço."
"05212589000105","SANTOS E PRABUCKA LTDA","SALVADOR","BA","3399",28/02/2011,400,"FORNECIMENTO DE ALIMENTAÇÃO","SALVADOR","BA",26/02/2011,01/03/2011,"Cerimônia de anúncio da construção do terminal de regaseificação da Bahia."
"05212589000105","SANTOS E PRABUCKA LTDA","SALVADOR","BA","3400",28/02/2011,100,"FORNECIMENTO DE ALIMENTAÇÃO","SALVADOR","BA",26/02/2011,01/03/2011,"Cerimônia de anúncio da construção do terminal de regaseificação da Bahia."
"47508411089203","CIA BRAS DE DISTRIB. - EXTRA","SALVADOR","BA","216695",28/02/2011,"3379,71","GENEROS DE ALIMENTAÇÃO","SALVADOR","BA",26/02/2011,01/03/2011,"Cerimônia de anúncio da construção do terminal de regaseificação da Bahia."
"10848985000163","TRIGO DE OURO DELICATECE","IRECÊ","BA","1583",01/03/2011,2562,"FORNECIMENTO DE ALIMENTAÇÃO","IRECE","BA",26/02/2011,01/03/2011,"Visita à mostra de produtos da economia feminista e solidária."
"02483645000158","BAR E RESTAURANTE BOCA D' ÁGUA","IRECÊ","BA","358",01/03/2011,2196,"FORNECIMENTO DE ALIMENTAÇÃO","IRECE","BA",26/02/2011,01/03/2011,"Visita à mostra de produtos da economia feminista e solidária."
"16478331000171","ORLEY SALDANHA DOS SANTOS","LENÇÓIS","BA","7625",01/03/2011,500,"FORNECIMENTO DE ALIMENTAÇÃO","IRECE","BA",26/02/2011,01/03/2011,"Visita à mostra de produtos da economia feminista e solidária."
"47508411134519","COMPANHIA ARASILEIRA DE DISTRIBUIÇÃO - EXTRA","NATAL","RN","124528",03/03/2011,"733,99","GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"47508411134519","COMPANHIA ARASILEIRA DE DISTRIBUIÇÃO - EXTRA","NATAL","RN","124529",03/03/2011,"140,61","GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"47508411134519","COMPANHIA ARASILEIRA DE DISTRIBUIÇÃO - EXTRA","NATAL","RN","124530",03/03/2011,"660,78","GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"47508411134519","COMPANHIA ARASILEIRA DE DISTRIBUIÇÃO - EXTRA","NATAL","RN","124531",03/03/2011,"309,04","GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"47508411134519","COMPANHIA ARASILEIRA DE DISTRIBUIÇÃO - EXTRA","NATAL","RN","124532",03/03/2011,"265,3","GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"47508411134519","COMPANHIA ARASILEIRA DE DISTRIBUIÇÃO - EXTRA","NATAL","RN","124533",03/03/2011,"125,03","GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"63887754468","ANTONIO GABRIEL DO NASCIMENTO","NATAL","RN","01",04/03/2011,30,"GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"47508411134519","COMPANHIA ARASILEIRA DE DISTRIBUIÇÃO - EXTRA","NATAL","RN","124606",04/03/2011,"185,64","GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"47508411134519","COMPANHIA ARASILEIRA DE DISTRIBUIÇÃO - EXTRA","NATAL","RN","124607",04/03/2011,"73,35","GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"87643413487","RUFO BATISTA DO NASCIMENTO","NATAL","RN","02",05/03/2011,30,"GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"02649342000162","RIFÓLIS PRAIA HOTEL LTDA","NATAL","RN","093169",05/03/2011,"4,76","GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"47508411134519","COMPANHIA ARASILEIRA DE DISTRIBUIÇÃO - EXTRA","NATAL","RN","124818",05/03/2011,"79,2","GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"02649342000162","RIFÓLIS PRAIA HOTEL LTDA","NATAL","RN","093772",06/03/2011,"89,1","GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"35799056515","JOSE INACIO BARBOSA ARAUJO","NATAL","RN","20",06/03/2011,139,"GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"04245532440","JOSE CARLOS ROCHA","NATAL","RN","03",06/03/2011,51,"GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"11828725000512","EMPREENDIMENTOS GLOBO LTDA","NATAL","RN","082532",07/03/2011,"204,55","GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"02519345000181","P & C  COMÉRCIO E EVENTOS LTDA","NATAL","RN","047",08/03/2011,"762,71","GENEROS DE ALIMENTAÇÃO","NATAL","RN",02/03/2011,08/03/2011,"VIAGEM PARTICULAR"
"05704361000132","MARCIA DE SOUZA BATISTA","UBERABA","MG","000494",16/03/2011,"8270,24","GENEROS DE ALIMENTAÇÃO","UBERABA","MG",15/03/2011,17/03/2011,"Assinatura do Protocolo de Intenções entre Petrobras, Cemig e o Governo do Estado de MInas Gerais para construção da Fábrica de Amônia."
"05571684000103","HOTEL FAZENDA SÃO FRANCISCO","UBERABA","MG","00000068",17/03/2011,180,"FORNECIMENTO DE ALIMENTAÇÃO","UBERABA","MG",15/03/2011,17/03/2011,"Assinatura do Protocolo de Intenções entre Petrobras, Cemig e o Governo do Estado de MInas Gerais para construção da Fábrica de Amônia."
"34591909000183","EDNA SAMPAIO DE OLIVEIRA - DEMOISELLE","MANAUS","AM","4630",22/03/2011,102,"FORNECIMENTO DE ALIMENTAÇÃO","MANAUS","AM",20/03/2011,22/03/2011,"Lançamento do Programa de Fortalecimento da Rede de Prevenção, Diagnóstico e Tratamento do câncer de colo de Útero e de Mama."
"34591909000183","EDNA SAMPAIO DE OLIVEIRA - DEMOISELLE","MANAUS","AM","4629",22/03/2011,260,"FORNECIMENTO DE ALIMENTAÇÃO","MANAUS","AM",20/03/2011,22/03/2011,"Lançamento do Programa de Fortalecimento da Rede de Prevenção, Diagnóstico e Tratamento do câncer de colo de Útero e de Mama."
"07955520000105","KI TEMPERERO POPULAR","MANAUS","AM","2540",22/03/2011,5406,"FORNECIMENTO DE ALIMENTAÇÃO","MANAUS","AM",20/03/2011,22/03/2011,"Lançamento do Programa de Fortalecimento da Rede de Prevenção, Diagnóstico e Tratamento do câncer de colo de Útero e de Mama."
"05265471000145","PANIFICIUM COMERCIAL LTDA","BELO HORIZONTE","MG","238",28/03/2011,"4171,5","FORNECIMENTO DE ALIMENTAÇÃO","B HORIZONTE","MG",25/03/2011,28/03/2011,"Lançamento do Projeto Rede Cegonha"
"07149871000110","BONS SERVIÇOS DE LANCHES LTDA","BELO HORIZONTE","MG","000991",31/03/2011,756,"FORNECIMENTO DE ALIMENTAÇÃO","B HORIZONTE","MG",31/03/2011,31/03/2011,"Velório do Ex-Vice-Presidente da República , José de Alencar Gomes ."
"04174787000169","TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ","032",12/04/2011,234,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",10/04/2011,12/04/2011,"Participar da LAAD Defense & Securit"
"01566765000156","PADOKA - PANIFICDORA E CONFEITARIA LTDA","LONDRINA","PR","15302",16/04/2011,4200,"FORNECIMENTO DE ALIMENTAÇÃO","LONDRINA","PR",14/04/2011,16/04/2011,"Visita à 51ª Exposição Agropecuária e Industrial 2011"
"23063415000290","GERALDO BRAZ DE OLIVEIRA","OURO PRETO","MG","10",20/04/2011,"1622,4","FORNECIMENTO DE ALIMENTAÇÃO","OURO PRETO","MG",19/04/2011,21/04/2011,"Cerimônia Comemorativa do 21 de abril."
"04342845000116","EMPREENDIMENTOS TUDO NO ESPETO","BELO HORIZONTE","MG","023686",21/04/2011,"232,2","FORNECIMENTO DE ALIMENTAÇÃO","OURO PRETO","MG",19/04/2011,21/04/2011,"Cerimônia Comemorativa do 21 de abril."
"04302869000141","MARIA ABADIA SILVA DE ABREU","OURO PRETO","MG","023479",21/04/2011,1540,"FORNECIMENTO DE ALIMENTAÇÃO","OURO PRETO","MG",19/04/2011,21/04/2011,"Cerimônia Comemorativa do 21 de abril."
"10225815000122","CHURRASCARIA E LANCHONETE CACHOEIRA DO CAMPO LTDA","OURO PRETO","MG","210",21/04/2011,435,"FORNECIMENTO DE ALIMENTAÇÃO","OURO PRETO","MG",19/04/2011,21/04/2011,"Cerimônia Comemorativa do 21 de abril."
"04174787000169","TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ","033",29/04/2011,1100,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",26/04/2011,28/04/2011,"1-Abertura da sessão plenária do Forum Econômico p/ América Latina;2-Cerimônia de assin. do termo de cessão de direito de imagem das obras de Cândido Portinari p/o lançamento da campanha do Plano Nac.de Erracadicação da.Pobrza Extrema."
"13250998000558","POJUCA S/A","SÃO PAULO","SP","52247",04/05/2011,"114,4","FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",30/04/2011,02/05/2011,"Agenda particular - As despesas desta viadem foram pagas  pelo ecônomo, adistância - virtual."
"47508411089203","CIA BRAS DE DISTRIB. - EXTRA","SALVADOR","BA","232931",21/05/2011,"2092,68","GENEROS DE ALIMENTAÇÃO","SALVADOR","BA",20/05/2011,22/05/2011,"Beatificação de Irmã Dulce"
"28506798000329","ACRÓPOLIS MARINA HOTEL","ANGRA DOS REIS","RJ","4940",02/06/2011,4384,"FORNECIMENTO DE ALIMENTAÇÃO","ANGRA DOS REIS","RJ",01/06/2011,03/06/2011,"Cerimônia de batismo da Plataforma P-56 -( BR101 - Km81- Estaleiro Brasfels- JAcuecanga- Angra dos Reis- RJ."
"04174787000169","TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ","034",03/06/2011,4718,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",02/06/2011,03/06/2011,"Almoço Privado( Palacio das Laranjeiras); Assinatura de Ordem de Serviço de obras de recuperação da Região Serrana/RJ( Palacio das Laranjeiras)"
"08672340000170","J.R.B. ALIMENTOS & REFEIÇÕES LTDA","BLUMENAU","SC","37577",08/06/2011,600,"FORNECIMENTO DE ALIMENTAÇÃO","BLUMENAU","SC",07/06/2011,09/06/2011,"Solenidade de entrega de 580 unidades habitacionais do Programa Minha Casa  Minha Vida"
"02854912000156","RESTAURANTE BADEN BANDEN LTDA","BLUMENAU","SC","00206",08/06/2011,9300,"FORNECIMENTO DE ALIMENTAÇÃO","BLUMENAU","SC",07/06/2011,09/06/2011,"Solenidade de entrega de 580 unidades habitacionais do Programa Minha Casa  Minha Vida"
"06211636000169","A.B.S RESTAURANTE LTDA ME","BLUMENAU","SC","5415",08/06/2011,585,"FORNECIMENTO DE ALIMENTAÇÃO","BLUMENAU","SC",07/06/2011,09/06/2011,"Solenidade de entrega de 580 unidades habitacionais do Programa Minha Casa  Minha Vida"
"00987126000100","M & I ALIMENTAÇÃO E COMÉRCIO LTDA. ME.","RIBEIRÃO PRETO","SP","1384",16/06/2011,80,"FORNECIMENTO DE ALIMENTAÇÃO","RIBEIRÃO PRETO","SP",15/06/2011,17/06/2011,"Lamçamento do Plano Agrícola e Pecuário - 20011/2012"
"12382707000199","SERRA VERMELHA RESTAURANTE E BAR LTDA","RIO DE JANEIRO","RJ","004",20/06/2011,5434,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",02/06/2011,03/06/2011,"Almoço Privado( Palacio das Laranjeiras); Assinatura de Ordem de Serviço de obras de recuperação da Região Serrana/RJ( Palacio das Laranjeiras)"
"02450828000177","CARUARU PARK HOTEL LTDA","CARUARU","PE","16329",22/06/2011,775,"FORNECIMENTO DE ALIMENTAÇÃO","CARUARU","PE",21/06/2011,22/06/2011,"Visita ao Museu do Mestre Vitalino, no Alto do Moura; Jnatar privado, na residên- cia do Prefeito de Caruaru; São João de Caruaru, no Pátio de Eventos Luiz Gonzaga."
"02450828000177","CARUARU PARK HOTEL LTDA","CARUARU","PE","16315",22/06/2011,775,"FORNECIMENTO DE ALIMENTAÇÃO","CARUARU","PE",21/06/2011,22/06/2011,"Visita ao Museu do Mestre Vitalino, no Alto do Moura; Jnatar privado, na residên- cia do Prefeito de Caruaru; São João de Caruaru, no Pátio de Eventos Luiz Gonzaga."
"02450828000177","CARUARU PARK HOTEL LTDA","CARUARU","PE","16331",22/06/2011,48,"FORNECIMENTO DE ALIMENTAÇÃO","CARUARU","PE",21/06/2011,22/06/2011,"Visita ao Museu do Mestre Vitalino, no Alto do Moura; Jnatar privado, na residên- cia do Prefeito de Caruaru; São João de Caruaru, no Pátio de Eventos Luiz Gonzaga."
"02450828000177","CARUARU PARK HOTEL LTDA","CARUARU","PE","16330",22/06/2011,806,"FORNECIMENTO DE ALIMENTAÇÃO","CARUARU","PE",21/06/2011,22/06/2011,"Visita ao Museu do Mestre Vitalino, no Alto do Moura; Jnatar privado, na residên- cia do Prefeito de Caruaru; São João de Caruaru, no Pátio de Eventos Luiz Gonzaga."
"33325325000101","FARMÁCIA RÁPIDA LTDA.","RIO DE JANEIRO","RJ","64740",27/06/2011,6,"GENEROS DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",26/06/2011,27/06/2011,"Solenidade comemorativa aos 60 anos do Jornal O Dia"
"04174787000169","TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ","35",27/06/2011,2926,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",26/06/2011,27/06/2011,"Solenidade comemorativa aos 60 anos do Jornal O Dia"
"07363122000191","LANCHONETE TONY E THAIS LTDA. ME","SÃO PAULO","SP","003277",28/06/2011,2520,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",26/06/2011,28/06/2011,"Prêmio Destaque Agência Estado Empresas - 11° edição."
"12912425000156","CHEF HAUS BIER LTDA","CHAPECÓ","SC","007940",01/07/2011,"1787,5","FORNECIMENTO DE ALIMENTAÇÃO","FRANCISCO BELTRAO","PR",28/06/2011,01/06/2011,"Lançamento do Plano Safra - 2011/2012"
"03637333000114","LANCHONETE TOSCAN LTDA","FRANCISCO BELTRÃO","PR","041742",01/07/2011,"697,5","FORNECIMENTO DE ALIMENTAÇÃO","FRANCISCO BELTRAO","PR",28/06/2011,01/06/2011,"Lançamento do Plano Safra - 2011/2012"
"07012702000134","MARLI DAL BERTO PASSAIA - RESTAURANTE","FRANCISCO BELTRÃO","PR","21620",01/07/2011,2288,"FORNECIMENTO DE ALIMENTAÇÃO","FRANCISCO BELTRAO","PR",28/06/2011,01/06/2011,"Lançamento do Plano Safra - 2011/2012"
"04768477000253","ÍTALO SUPERMERCADOS LTDA","FRANCISCO BELTRÃO","PR","4573",01/07/2011,"1175,76","GENEROS DE ALIMENTAÇÃO","FRANCISCO BELTRAO","PR",28/06/2011,01/06/2011,"Lançamento do Plano Safra - 2011/2012"
"04768477000253","ÍTALO SUPERMERCADOS LTDA","FRANCISCO BELTRÃO","PR","4574",01/07/2011,"120,49","GENEROS DE ALIMENTAÇÃO","FRANCISCO BELTRAO","PR",28/06/2011,01/06/2011,"Lançamento do Plano Safra - 2011/2012"
"04342845000116","EMPREENDIMENTOS TUDO NO ESPETO","BELO HORIZONTE","MG","025880",04/07/2011,640,"FORNECIMENTO DE ALIMENTAÇÃO","BELO HOIZONTE","MG",03/07/2011,04/07/2011,"Velório do Presidente Itamar Franco"
"04381505000102","ALMEIDA & COSTA LTDA","PORTO VELHO","RO","83332",05/07/2011,8100,"FORNECIMENTO DE ALIMENTAÇÃO","PORTO VELHO","RO",30/06/2011,05/07/2011,"Visita da Sra. Presidenta da República às obras da hidrel´trica de Sto.Antônio, p/ participação no desvio do rio Madeira; p/a solenidade de assinatura do decreto de transposição do servidores do Estado de Rondônia p/ os quadros da União."
"04174787000169","TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ","037",07/07/2011,12836,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",04/07/2011,07/07/2011,"Inauguração do teleférico no Comlexo de Favelas do Alemão"
"01963080000143","LÍRIO TESSER","FRANCISCO BELTRÃO","PR","13425",11/07/2011,348,"FORNECIMENTO DE ALIMENTAÇÃO","FRANCISCO BELTRAO","PR",09/07/2011,12/07/2011,"lANÇAMENTO  DO PLANO SAFRA - 2011/2012"
"04768477000253","ÍTALO SUPERMERCADOS LTDA","FRANCISCO BELTRÃO","PR","4762",12/07/2011,"750,41","GENEROS DE ALIMENTAÇÃO","FRANCISCO BELTRAO","PR",09/07/2011,12/07/2011,"lANÇAMENTO  DO PLANO SAFRA - 2011/2012"
"04768477000253","ÍTALO SUPERMERCADOS LTDA","FRANCISCO BELTRÃO","PR","4764",12/07/2011,"90,78","GENEROS DE ALIMENTAÇÃO","FRANCISCO BELTRAO","PR",09/07/2011,12/07/2011,"lANÇAMENTO  DO PLANO SAFRA - 2011/2012"
"07012702000134","MARLI DAL BERTO PASSAIA - RESTAURANTE","FRANCISCO BELTRÃO","PR","21730",12/07/2011,"2805,6","FORNECIMENTO DE ALIMENTAÇÃO","FRANCISCO BELTRAO","PR",09/07/2011,12/07/2011,"lANÇAMENTO  DO PLANO SAFRA - 2011/2012"
"01014140000181","LANG PALACE HOTEL","XAPECO","SC","97200",12/07/2011,3744,"FORNECIMENTO DE ALIMENTAÇÃO","CHAPECO","SC",10/07/2011,12/07/2011,"PERNOITE DA PRESIDENTE"
"94629334000172","BRESCIA ALIMENTOS LTDA-PÃO NO CESTO","PORTO ALEGRE","RS","11568",14/07/2011,3936,"FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",13/07/2011,14/07/2011,"Cerimonia de Posse da Diretoria da FIERGS / CIERGS"
"81071623000408","DEVILLE HOTEIS E TURISMO LTDA","PORTO ALEGRE","RS","229879",14/07/2011,"841,65","FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",13/07/2011,14/07/2011,"Cerimonia de Posse da Diretoria da FIERGS / CIERGS"
"12104909000179","PORTO GRILL CHURRASCARIA LTDA","ITAGUAÍ","RJ","3072",15/07/2011,3122,"FORNECIMENTO DE ALIMENTAÇÃO","ITAGUAI","RJ",14/07/2011,16/07/2011,"Cerimônia de in´cio da construção dos Submarinos S-BR no Brasil."
"04174787000169","TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ","39",16/07/2011,3006,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",13/07/2011,16/07/2011,"Cerimônia de abertura dos 5º Jogos Mundiais Militares"
"13004510003013","BOMPREÇO SUPERMERCADOS NE LTDA","MACEIÓ","AL","000159",22/07/2011,133,"GENEROS DE ALIMENTAÇÃO","ARAPIRACA","AL",20/07/2011,25/07/2011,"Encontro com Governadores da região Nordeste para assinatura do Termo de Pactuação do Plano ""Brasil sem Miséria"""
"13004510003013","BOMPREÇO SUPERMERCADOS NE LTDA","MACEIÓ","AL","000158",22/07/2011,"1458,17","GENEROS DE ALIMENTAÇÃO","ARAPIRACA","AL",20/07/2011,25/07/2011,"Encontro com Governadores da região Nordeste para assinatura do Termo de Pactuação do Plano ""Brasil sem Miséria"""
"02845636000321","EDENIS CASA NOVA","ARAPIRACA","AL","000055",24/07/2011,1764,"FORNECIMENTO DE ALIMENTAÇÃO","ARAPIRACA","AL",20/07/2011,25/07/2011,"Encontro com Governadores da região Nordeste para assinatura do Termo de Pactuação do Plano ""Brasil sem Miséria"""
"04133593000115","GB DA SILVA HOTEL E CHURRASCARIA  - ME","ARAPIRACA","AL","000469",24/07/2011,4872,"FORNECIMENTO DE ALIMENTAÇÃO","ARAPIRACA","AL",20/07/2011,25/07/2011,"Encontro com Governadores da região Nordeste para assinatura do Termo de Pactuação do Plano ""Brasil sem Miséria"""
"08345087000140","MASTER FOOD MACEIÓ LTDA - EPP","MACEIÓ","AL","000162",24/07/2011,"1413,4","FORNECIMENTO DE ALIMENTAÇÃO","ARAPIRACA","AL",20/07/2011,25/07/2011,"Encontro com Governadores da região Nordeste para assinatura do Termo de Pactuação do Plano ""Brasil sem Miséria"""
"86894953001219","BIGBURGER SALVADOR LANCHONETES LTDA","MACEIÓ","AL","000407",24/07/2011,1295,"FORNECIMENTO DE ALIMENTAÇÃO","ARAPIRACA","AL",20/07/2011,25/07/2011,"Encontro com Governadores da região Nordeste para assinatura do Termo de Pactuação do Plano ""Brasil sem Miséria"""
