"estabelecimento","total"
"PADARIA E CONFEITARIA TONINHO",7700
"CELSO ADRIANO MARTINHO -ME",7635
"EMPREENDIMENTOS TUDO NO ESPETO","7449,1"
"PADARIA E CONFEITARIA CENTREL DE PIRACICABA LTDA - ME",7320
"CÉLIO PEREIRA - ME",7110
"CHURRASCARIA ZÉ DIAS LTDA",7104
"NIVALDO C. R. FILHO E CIA LTDA",7063
"COSTA E VIEIRA LTDA","7048,51"
"PANIFICAÇÃO DONA BENTA LTDA",6968
"ANTONIO RICARDO DA SILVA","6601,7"
"MEOSC PRODUTOS ALIMENTICIOS LTDA ME","6526,5"
"HOTEIS E TURISMO FLORESTA S/A",6104
"RA CATERING LTDA","6093,72"
"PANIFICADORA JARDIM BONGIOVANI LTDA - ME","5482,4"
"VALCIR KEMPNER & CIA. LTDA - ME",5402
"J & A ALIMENTOS LTDA ME",5316
"S. K. SALAME & CIA LTDA - ME",5200
"CATUSSABA HOTEL LTDA","5158,2"
"PANIFICADORA PÃO DO CAMBUÍ LTDA","5118,5"
"NOSSO PÃO ALIMENTOS INDUSTRIA E COMERCIO LTDA","5080,6"
"PEREZ & SINOES RESTAURANTE LTDA EPP",5025
"CASA BRANCA RESTAURANTE E CHOPERIA",4830
"SILVA & BORBA RESTAURANTE LTDA","4803,68"
"VITOR DA ROCHA OLIVEIRA 21585969885",4662
"PADARIA SANTO PÃO LTDA",4508
"FUNK E BENTO LTDA",4465
"DEGUST - PADARIA IRMAOS GUERRA LTDA",4440
"GUAIBA RESTAURANTE CHURRASCARIA PRESIDENTE PRUDENTE LTDA",4250
"YYAMADA S/A","3903,99"
"FRIFRANGOS RESTAURANTE LTDA",3901
"SAN MARINO HOTEL - ORGANIZAÇÃO HOTELEIRA JOMATEL LTDA","3818,49"
"GIRA GRILL LTDA",3542
"INGRA HOTEL LTDA",3525
"CRISTINA MENON",3480
"BARCELONA COMERCIO VAREJISTA E ATACADISTA S/A","3425,7"
"F. F. DE LIMA - ME",3420
"PÃO COM LETRAS PANIFICADORA LTDA","3249,22"
"SUELY THEVENET","3020,5"
"PADARIA E LANCHONETE POMPÉU",2919
"SUPERMERCADO BRAZÃO","2777,85"
"WMS SUPERMERCADOS DO BRASIL LTDA","2660,64"
"S & L LEITE RESTAURANTES LTDA - ME",2553
"LIANA DA SILVA RAMOS","2464,5"
"RESTAURANTE BODE ASSADO LTDA - ME","2335,5"
"AAR RESTAURANTE LTDA","2041,8"
"IRAN MEDEIROS DA COSTA - EPP","2023,65"
"GALETUS CAXANGA RESTAURANTE LTDA","1940,73"
"CHURRASCARIA ESPETOS LTDA ME","1913,6"
"ESFIHA E CIA GODOI",1860
"SIMÕES E DUARTE LTDA (HIPER)","1765,69"
"PADARIA E LANCHONETE NOGUEIRA","1644,99"
"CHURRASCARIA TOZZONI DE FRIBURGO LTDA",1620
"MARIANO IVASKO & CIA LTDA",1610
"PANIFICADORA E MERCADINHO BELOPAN LTDA",1506
"MELO SILVA PAES E DOCES LTDA-ME",1396
"VERDES VALES LAZER HOTEL","1384,89"
"SUPERMERCADO JD DE FRUTAL LTDA","1290,5"
"INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A","1221,24"
"IBIRAPUERA PARK HOTEL LTDA",1216
"PANIFICADORA LA MAISON LTDA","1136,4"
"VILLA CHOPP BOTECARIA LTDA - EPP",1122
"RESTAURANTE ATLÂNTICO SUL",1100
"RESTAURANTE CIDADE DO SOL LTDA ME'",1080
"LANCHONETE MORADA DO SOL RIO PRETO LTDA - ME","1078,94"
"SEVEN ALIMENTOS LTDA-ME",1040
"TOMMY""S BAR E RESTAURANTE LTDA",1008
"RESTAURANTE E PIZZARIA FORNO D'ORO LTDA ME",980
"VIEIRA E OLIVEIRA COMÉRCIO DE PÃES LTDA - ME","877,7"
"TUVIL S A HOTÉIS COMÉRCIO E INDÚSTRIA",810
"A. DE M. DA SILVA LOPES",798
"PANIFICADORA BENTEL LTDA","791,2"
"VANDERLINDE & VEBER LTDA - ME",735
"OMEGA ALIM. E SERVIÇOS ESPECIALIZADOS LTDA","698,1"
"MARTINHO E MELO LTDA",692
"RESTAURANTE E PIZZARIA CONSOLI LTDA ME",680
"SOUSA COM. DE ALIM. LTDA-EPP - QG JEITINHO CASEIRO","675,48"
"RESTAURANTE PORTAL D OESTE LTDA","670,4"
"FLORISMAR DE JESUS BRANDÃO","632,4"
"CONDOMÍNIO DO EDIFICIO SHERATON BARRA",625
"BOA VIAGEM BAR E RESTAURANTE LTDA - ME",617
"ERENIZE GUERRA ANDRADE","598,87"
"PORTO DO SOL RESTAURANTE LTDA - ME",594
"BOM PRECO SUPERMERCADOS DO NORD","588,16"
"RINCÃO GAÚCHO","577,5"
"KINO EMPEENDIMENTO HOTELEIRO LTDA",550
"JNS COMÉRCIO DE PRODUTOS ALIMENTÍCIOS LTDA ME","529,91"
"SAL E BRASA BAR E CHURRASCARIA LTDA","526,57"
"JUÇARA TEREZINHA BUZZI ME",525
"M.A.CANCIAN E CIA LTDA","522,5"
"PREDIAL E ADMINISTRADORA  HOTEIS PLAZA S/A-SAN RAFAEL","494,45"
"PANIFICAÇÃO RIO PARANÁ LTDA",492
"UBER - GRILL RESTAURANTE LTDA",484
"BIGIARINI & FERREIRA LTDA - EPP",450
"PESTANA RIO ATLANTICA HOTEL","423,5"
"HOTEL PREMIUM NORTE LTDA",420
"PADARIA E RESTAURANTE VALENTINA LTDA","399,46"
"FORNO E FOGÃO GRILL",399
"RESTAURANTE PARAISO DA CARNE DO SOL LTDA","390,15"
"IBIRAPUERA PARK HOTEL","383,5"
"RA CATERING LTDA - THE COLLECTION-CUMBICA SP",372
"R SILVA DE OLIVEIRA","370,6"
"SAATORE RESTAURANTE LTDA",360
"NORTE BUSINESS HOTELARIA E TURISMO LTDA",336
"BRASTURINVEST INV TURISTICOS S/A - PESTANA",334
"DECK BEER BAR E RESTAURANTE","325,49"
"DOTTO & RIGOTTI LTDA",315
"GL MORAIS E CIA LTDA",302
"LAN DE SOUZA EIRELI - ME",300
"RESTAURANTE CHIMALAYA LTDA - ME",288
"ELISANGELA DOS SANTOS DE SOUZA LADINO",285
"BONANÇA ADMINISTRAÇÃO DE HOTÉIS LTDA- EPP",280
"IPE CENTER HOTEL LTDA",275
"VANCEL-RESTAURANTE SABOR DA CASA LTDA","272,13"
"RENAISSANCE DO BRASIL HOTELARIA LTDA",267
"LEONARDO LUIZ CARDOZO",252
"GV COMÉRCIO DE ALIMENTOS LTDA - ME","247,1"
"AP COM. DE ALIM. LTDA - TERM PASSA AEROPORTO",243
"VALTER GUEDES SILVA",240
"PIZZARIA CHALE LTDA EPP",225
"SILVANA CIRINO GURGEL",225
"TIRRENO BAR E PIZZARIA LTDA",210
"SALUS ALIMENTOS LTDA-EPP","198,4"
"RESTAURANTE FOGÃO A LENHA",198
"ABASTECEDORA DE COMBUSTÍVEIS SMR LTDA","193,86"
"RESTAURANTE KOMAKI LTDA",190
"PÃO NOSSO INDUSTRIA E COMERCIO DE PÃES LTDA - ME","187,2"
"DEVILLE HOTEIS E TURISMO LTDA","186,45"
"BAR E RESTAURANTE DO SR. ODLEI CRUZ LTDA ME",180
"RCD EMPREENDIMENTOS LTDA",176
"RIBEIRO FILHO E SALGUEIRO LTDA ME",165
"VIRA RESTAURANTE LTDA - EPP","159,5"
"HIROMI NAKANO DOS SANTOS - ME",154
"RESTAURANTE BRASÍLIA",150
"O. M. MARQUES E CIA LTDA","144,21"
"CAFÉ E BAR CORTESIA LTDA","143,4"
"RESTAURANTECAROLI E SILVA LTDA",133
"VIEIRA LEITE & RESTAURANTES LTDA",126
"STARCLUB RESTAURANTE LTDA",125
"CARVALHO E LEAL LTDA - EPP",90
"NOVA LANCHONETE SÃO PAULO",80
"BADIR SUCOS E LANCHES",73
"CIA. BRASILEIRA DE DISTRIBUIÇÃO","52,23"
"GIOVANI PIMENTEL DE FRANCESCO - ME",40
"JANETE ANDRADE DOS SANTOS DE PAULO AFONSO ME","36,6"
"PIZZARIA E RESTAURANTE PAULISTANO LTDA - ME",35
"DDROGARIA SÃO PAULO SA (DSP220)","34,85"
"BOMPREÇO BAHIA SUPERMERCADOS LTDA","29,48"
"BARCELOS DA SILVA & BARRANCO LTDA ME",25
"CSB DROGARIAS S.A","22,77"
"COMPANHIA ZAFFARI COMERCIO E INDUSTRIA","22,3"
"DROGARIA SÃO PAULO S/A","21,96"
"DROGARIA ARAUJO S.A","21,18"
"AUTO POSTO BANDEIRA LTDA",20
"MERCADÃO RIO PRETO LOJA DE CONVINIÊNCIAS EIRELI - ME",20
"CARREFOUR COMÉRCIO E INDUSTRIA LTDA","19,15"
"POSTO DE COMBUSTIVEIS PEGASUS LTDA","18,66"
"DISTRIBUIDORA BIG BENN S.A","18,38"
"POSTO PINHEIRO LTDA","17,98"
"CONFEITARIA SULIMAR LTDA","17,8"
"SANT'ANA DROGARIA FARMACIAS FILIAL 132","16,34"
"FARMA FE LTDA","16,05"
"DRAGARIA ARAUJO",16
"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","15,39"
"AUTO POSTO LTDA",15
"SILVA PRODUTOS FARMACEUTICOS LTDA","14,86"
"RAIA DROGASIL S.A.","14,74"
"GLOBO CONVENIENCIA E SERVIÇOS LTDA - ME",14
"SANT'ANA S/A DROGARIA, FARMACIAS","13,55"
"MARQUEZ - LOJA DE CONVENIÊNCIAS LTDA ME","13,3"
"DROGARIA PACHECO S/A","12,5"
"DROGARIA GENERICA LTDA","12,43"
"FARMACIAS NISSEI DROGSTORE","12,1"
"SANTANA S/A DROGARIA FARMACIAS","11,96"
"IMIFARMA PRODUTOS FARMACÊUTICOS E COSMETICOS","11,94"
"MEDIDROGAS LTDA","11,8"
"IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA","11,28"
"DROGAL GARMACEUTICA LTDA","10,62"
"LÍDER AUTO POSTO LTDA","10,5"
"LUCIANO OLIVEIRA PEREIRA - EPP","10,5"
"DROGARIA POSTO 3 LTDA - EPP","10,15"
"DROGARIA VIANA CARIRI LTDA - EPP","10,04"
"DROGARIA DROGAMAR LTDA",10
"LIDER ORG. COM. LTDA","9,8"
"P L MOURA SERVIÇO E COMÉRCIO DE ALIMENTOS LTDA","9,6"
"W C & SILVA MERCADINHO ME","9,41"
"JAMPA LOJA DE CONVENIENCIA LTDA",9
"CARREFOUR COMÉRCIO E INDÚSTRIA LTDA","8,79"
"CIA BRAS. DE DISTRIBUIÇÃO","8,56"
"BENJAMIM FERREIRA DA SILVA ME",8
"DROGARIA MEGAFARMA LTDA",8
"NORTE COM. DE DERIVADOS DE PETRÓLEO LTDA","7,5"
"HAPYDIAS DE FRIBURGO C. D. PROD FARM E COSM LTDA","6,7"
"SANT'ANA S/A - DROGARIA FARMÁCIA","6,38"
"EMPREDIMENTOS PAGUE MENOS S/A","6,3"
"JOSE GODOFREDO DA COSTA FILHO","6,14"
"FARMÁCIAS DE ANDRADE LTDA","5,9"
"IMIFARMA PROD. FARMA E COSMETICOS S/A","5,82"
"TIELI SUPERMERCADO LTDA","5,56"
"SUPERMERCADO ESTRELA DE REGENTE FEIJO LTDA","5,52"
"EMPREENDIMENTOS PAGUE MENOS S/A","5,5"
"BATISTA & PASSOS PRODUTOS ALIMENTÍCIOS LTDA","5,49"
"A.C.D.A IMP. E EXPORTAÇÃO LTDA","5,34"
"SUPERMERCADO GOIANA","4,18"
"DROGARIAS PACHECO S/A","4,1"
"DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS","3,5"
"PRINCESA AUTO SERVIÇO DE COMBUSTÍVEIS LTDA","3,5"
"RESTAURANTE TENDA PAULISTA REFEIÇÕES LTDA","3,49"
"COMERCIAL VALE DO SÃO FRANCISCO LTDA","3,28"
"TIELI SUIPERMERCADO LTDA","2,78"
